"id","biz_provider_id","biz_name","biz_info","e_address","e_city","e_state","e_postal","e_zip_full","e_country","loc_county","loc_area_code","loc_FIPS","loc_MSA","loc_PMSA","loc_TZ","loc_DST","loc_LAT_centroid","loc_LAT_poly","loc_LONG_centroid","loc_LONG_poly","biz_phone","web_url","web_meta_title","web_meta_desc","web_meta_keys","biz_owner","f_emergency","biz_bedcount"
"1","320060","ZUNI INDIAN HOSPITAL","Acute Care Hospitals","ROUTE 301 NORTH B STREET","Zuni Pueblo","NM","87327","","USA","McKinley","505","35031","","","MST","Y","35.0898","35.0694767","-108.7634","-108.8484168","(505) 782-4431","","","","","Government - Federal","true","30"
"2","140100","MIDWESTERN REGION MED CENTER","Acute Care Hospitals","2520 Elisha Ave","Zion","IL","60099","60099-2676","USA","Lake","847","17097","","1600","CST","Y","42.4565","42.449390","-87.8597","-87.827004","(847) 872-4561","http://www.cancercenter.com","CTCA Cancer Treatment Hospitals: Centers Offering Innovative Care","Learn about a complete range of traditional and new innovative cancer treatment therapies designed to treat your mind, body, and soul, not just your cancer. Start fighting today.","cancer,cancer treatment,chemotherapy,breast cancer,lung,alternative breast treatment,breast chemotherapy,lung adenocarcinoma,leukemia,chemotherapy side effects,prostate,lung treatment,leukemia symptoms,hodgkins disease,prostate cancers information,melanom","Proprietary","true","70"
"3","100046","FLORIDA HOSPITAL ZEPHYRHILLS","Acute Care Hospitals","7050 Gall Blvd","Zephyrhills","FL","33541","33541-1347","USA","Pasco","813","12101","8280","","EST","Y","28.2441","28.260741","-82.2189","-82.187914","(813) 788-0411","http://www.epmc.org","epmc.org  - epmc Resources and Information. This website is for sale!","","","Voluntary non-profit - Church","true","139"
"4","230003","ZEELAND COMMUNITY HOSPITAL","Acute Care Hospitals","8333 Felch St","Zeeland","MI","49464","49464-1698","USA","Ottawa","616","26139","3000","","EST","Y","42.8513","42.819682","-85.9891","-85.988041","(616) 772-4644","http://www.zch.org","","","","Voluntary non-profit - Private","true","57"
"5","360039","GENESIS HEALTHCARE SYSTEM","Acute Care Hospitals","2951 Maple Ave","Zanesville","OH","43701","43701-1406","USA","Muskingum","740","39119","","","EST","Y","39.9489","39.975939","-82.0572","-82.014845","(740) 454-5000","","","","","Voluntary non-profit - Private","true","393"
"6","190020","LANE REGIONAL MEDICAL CENTER","Acute Care Hospitals","6300 Main St","Zachary","LA","70791","70791-4037","USA","East Baton Rouge","225","22033","0760","","CST","Y","30.6604","30.649991","-91.1897","-91.137557","(225) 658-4303","http://www.lanehospital.org","","","","Government - Hospital District or Authority","true","137"
"7","030013","YUMA REGIONAL MEDICAL CENTER","Acute Care Hospitals","2400 S Avenue a","Yuma","AZ","85364","85364-7127","USA","Yuma","928","04027","9360","","MST","N","32.7006","32.683800","-114.6726","-114.633396","(928) 336-7275","http://www.yumaregional.org","Yuma Regional Medical Center","","","Voluntary non-profit - Private","true","257"
"8","061315","YUMA DISTRICT HOSPITAL - CAH","Critical Access Hospitals","1000 W 8th Ave","Yuma","CO","80759","80759-2641","USA","Yuma","970","08125","","","MST","Y","40.0884","40.118329","-102.6801","-102.736293","(970) 848-5405","","","","","Government - Hospital District or Authority","true",""
"9","370211","INTEGRIS CANADIAN VALLEY  HOSPITAL","Acute Care Hospitals","1201 Health Center Pky","Yukon","OK","73099","73099-6381","USA","Canadian","405","40017","5880","","CST","Y","35.5200","35.483654","-97.7580","-97.762476","(405) 717-7999","","","","","Voluntary non-profit - Other","true",""
"10","050766","SUTTER SURGICAL HOSPITAL - NORTH VALLEY","Acute Care Hospitals","455 Plumas Blvd","Yuba City","CA","95991","95991-5074","USA","Sutter","530","06101","9340","","PST","Y","39.0204","39.132452","-121.6141","-121.613503","(530) 749-5700","","","","","Proprietary","true",""
"11","051316","FAIRCHILD MEDICAL CENTER","Critical Access Hospitals","444 Bruce St","Yreka","CA","96097","96097-3450","USA","Siskiyou","530","06093","","","PST","Y","41.7761","41.718752","-122.6736","-122.645831","(530) 842-4121","","","","","Voluntary non-profit - Other","true",""
"12","360064","ST ELIZABETH HEALTH CENTER","Acute Care Hospitals","1044 Belmont Ave","Youngstown","OH","44504","44504-1006","USA","Mahoning","330","39099","9320","","EST","Y","41.1239","41.114421","-80.6542","-80.655915","(330) 746-7211","http://www.hmhs.org","","","","Voluntary non-profit - Church","true","374"
"13","360141","NORTHSIDE MEDICAL CENTER","Acute Care Hospitals","500 Gypsy Ln","Youngstown","OH","44504","","USA","Mahoning","330","39099","9320","","EST","Y","41.1239","41.133747","-80.6542","-80.659243","(330) 884-1000","http://www.forumhealth.org","ValleyCare Health System","Today, you have more reasons that ever to feel good.  Northside Medical Center, Trumbull Memorial Hospital and Hillside Rehabilitation Hospital are now united as ValleyCare Health System.","Hospital, Youngstown, Trumbull, Northside, Forum Health, Mahoning, Hillside","Voluntary non-profit - Private","true","373"
"14","360276","ST ELIZABETH BOARDMAN HEALTH CENTER","Acute Care Hospitals","8401 Market St","Youngstown","OH","44512","44512-6725","USA","Mahoning","330","39099","9320","","EST","Y","41.0246","40.995162","-80.6673","-80.662592","(330) 729-2929","","","","","Voluntary non-profit - Church","true",""
"15","360352","SURGICAL HOSPITAL AT SOUTHWOODS","Acute Care Hospitals","7630 Southern Blvd","Youngstown","OH","44512","44512-5633","USA","Mahoning","330","39099","9320","","EST","Y","41.0246","41.014762","-80.6673","-80.653484","(330) 758-1954","","","","","Voluntary non-profit - Private","true",""
